#{"t_start": 1713106215.168335, "env_id": null}
r,l,t
1461.676922,1428,3787.699708
-265.823261,1428,3791.162594
-262.013944,1428,3794.603031
-251.92648,1428,3798.064275
-114.366825,1428,3801.539311
488.451601,1428,3805.103111
1053.847942,1428,3808.586528
3514.907817,1428,3812.140738
206.731842,1428,3815.641207
440.850831,1428,3819.102169
1622.981904,1428,3822.613286
314.499233,1428,3826.151857
1541.947676,1428,3829.688344
602.112516,1428,3833.171431
-64.358867,1428,3836.671972
617.870741,1428,3840.289629
-112.163295,1428,3843.828085
-254.312586,1428,3847.572438
-504.707701,1428,3851.545085
-512.698489,1428,3854.951017
2650.828689,1428,3858.415708
1660.751932,1428,3861.894936
382.52282,1428,3865.350173
-159.937539,1428,3868.787549
-60.765007,1428,3872.238772
34.83191,1428,3875.750616
1450.63209,1428,3879.182508
548.06949,1428,3882.664513
663.728519,1428,3886.113616
889.904211,1428,3889.52309
-231.380529,1428,3892.982452
2262.536,1428,3896.527639
3699.601224,1428,3900.0005
152.443208,1428,3903.471799
2167.27941,1428,3906.977575
750.691032,1428,3910.463747
-383.803872,1428,3913.975322
767.100467,1428,3917.498514
-497.280136,1428,3921.031507
3031.906021,1428,3924.54414
-379.059669,1428,3927.941538
-1030.409933,1428,3931.450838
710.347937,1428,3935.007493
-129.491456,1428,3938.509866
-289.813566,1428,3941.977818
1556.372231,1428,3945.413436
3636.90571,1428,3948.906084
-599.549521,1428,3952.406004
1458.071243,1428,3955.836013
340.80474,1428,3959.266414
-81.937779,1428,3962.707357
60.747652,1428,3966.172707
341.442866,1428,3969.598609
633.478173,1428,3973.09549
1319.380927,1428,3976.643794
